symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
GOOGL,2016-06-20 00:00:00+00:00,706.13,715.87,705.41,710.31,2282725,706.13,715.87,705.41,710.31,2282725,0.0,1.0
GOOGL,2016-06-21 00:00:00+00:00,708.88,715.38,704.66,710.05,1515918,708.88,715.38,704.66,710.05,1515918,0.0,1.0
GOOGL,2016-06-22 00:00:00+00:00,710.47,714.21,705.88,714.05,1452884,710.47,714.21,705.88,714.05,1452884,0.0,1.0
GOOGL,2016-06-23 00:00:00+00:00,714.87,714.88,700.25,710.55,2125028,714.87,714.88,700.25,710.55,2125028,0.0,1.0
GOOGL,2016-06-24 00:00:00+00:00,685.2,705.0,684.91,690.17,4771780,685.2,705.0,684.91,690.17,4771780,0.0,1.0
GOOGL,2016-06-27 00:00:00+00:00,681.14,683.325,672.66,682.49,2919486,681.14,683.325,672.66,682.49,2919486,0.0,1.0
GOOGL,2016-06-28 00:00:00+00:00,691.26,692.7399,684.85,691.37,1912280,691.26,692.7399,684.85,691.37,1912280,0.0,1.0
GOOGL,2016-06-29 00:00:00+00:00,695.19,699.5,692.6834,694.26,2156218,695.19,699.5,692.6834,694.26,2156218,0.0,1.0
GOOGL,2016-06-30 00:00:00+00:00,703.53,703.77,694.9015,697.65,2112513,703.53,703.77,694.9015,697.65,2112513,0.0,1.0
GOOGL,2016-07-01 00:00:00+00:00,710.25,712.53,703.73,705.1,1549160,710.25,712.53,703.73,705.1,1549160,0.0,1.0
GOOGL,2016-07-05 00:00:00+00:00,704.89,708.12,699.13,705.01,1422028,704.89,708.12,699.13,705.01,1422028,0.0,1.0
GOOGL,2016-07-06 00:00:00+00:00,708.97,713.0,699.0,699.84,1445126,708.97,713.0,699.0,699.84,1445126,0.0,1.0
GOOGL,2016-07-07 00:00:00+00:00,707.26,710.17,700.67,710.11,1058698,707.26,710.17,700.67,710.11,1058698,0.0,1.0
GOOGL,2016-07-08 00:00:00+00:00,717.78,717.9,708.11,710.56,1497323,717.78,717.9,708.11,710.56,1497323,0.0,1.0
GOOGL,2016-07-11 00:00:00+00:00,727.2,728.9289,718.865,719.42,1441113,727.2,728.9289,718.865,719.42,1441113,0.0,1.0
GOOGL,2016-07-12 00:00:00+00:00,732.51,735.6,727.5,731.92,1328680,732.51,735.6,727.5,731.92,1328680,0.0,1.0
GOOGL,2016-07-13 00:00:00+00:00,729.48,735.52,729.02,735.52,1021827,729.48,735.52,729.02,735.52,1021827,0.0,1.0
GOOGL,2016-07-14 00:00:00+00:00,735.8,736.14,730.59,733.94,1070351,735.8,736.14,730.59,733.94,1070351,0.0,1.0
GOOGL,2016-07-15 00:00:00+00:00,735.63,741.0,734.64,741.0,1617087,735.63,741.0,734.64,741.0,1617087,0.0,1.0
GOOGL,2016-07-18 00:00:00+00:00,753.2,755.1369,736.51,737.91,1934900,753.2,755.1369,736.51,737.91,1934900,0.0,1.0
